unit,icha11_hc,geo,time,value
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Bulgaria,2017,8.1
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Switzerland,2017,12.35
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Cyprus,2017,6.68
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Czechia,2017,7.23
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Germany (until 1990 former territory of the FRG),2017,11.25
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Denmark,2017,10.11
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Estonia,2017,6.43
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Greece,2017,8.04
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Spain,2017,8.87
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Finland,2017,9.21
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),France,2017,11.31
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Croatia,2017,6.79
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Hungary,2017,6.88
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Ireland,2017,7.18
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Iceland,2017,
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Italy,2017,8.84
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Liechtenstein,2017,5.9
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Lithuania,2017,6.46
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Luxembourg,2017,5.48
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Latvia,2017,5.95
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Malta,2017,9.31
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Netherlands,2017,10.1
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Norway,2017,10.45
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Poland,2017,
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Portugal,2017,8.97
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Romania,2017,5.16
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Sweden,2017,11.02
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Slovenia,2017,8.19
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Slovakia,2017,6.74
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),United Kingdom,2017,9.63
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Euro area - 18 countries (2014),2017,
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),Euro area - 19 countries  (from 2015),2017,
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),European Union - 27 countries (2007-2013),2017,
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),European Union - 27 countries (from 2020),2017,
Percentage of gross domestic product (GDP),Current health care expenditure (CHE),European Union - 28 countries (2013-2020),2017,
